# Monthly Fama-French 3 factors (decimals, not %). Source: Kenneth R. French Data Library.
# https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html
ym,Mkt-RF,SMB,HML,RF
201008,-0.047800,-0.030100,-0.017300,0.000100
201009,0.095500,0.038200,-0.030200,0.000100
201010,0.038700,0.010800,-0.024600,0.000100
201011,0.005900,0.036700,-0.009000,0.000100
201012,0.068200,0.007200,0.035600,0.000100
201101,0.019800,-0.022900,0.006100,0.000100
201102,0.034800,0.015000,0.011800,0.000100
201103,0.004500,0.024900,-0.018400,0.000100
201104,0.029000,-0.004200,-0.024400,0.000000
201105,-0.012700,-0.007300,-0.018500,0.000000
201106,-0.017400,-0.002700,-0.002000,0.000000
201107,-0.023500,-0.011700,-0.009100,0.000000
201108,-0.059600,-0.029600,-0.024300,0.000100
201109,-0.075800,-0.031200,-0.015300,0.000000
201110,0.113300,0.030500,0.000600,0.000000
201111,-0.002700,-0.001800,-0.005200,0.000000
201112,0.007500,-0.005600,0.015400,0.000000
201201,0.050500,0.020100,-0.009300,0.000000
201202,0.044200,-0.018400,0.004200,0.000000
201203,0.031200,-0.006300,0.011900,0.000000
201204,-0.008500,-0.003700,-0.007700,0.000000
201205,-0.061700,0.001200,-0.009500,0.000100
201206,0.038900,0.007200,0.005500,0.000000
201207,0.007900,-0.027600,-0.000600,0.000000
201208,0.025400,0.005000,0.012300,0.000100
201209,0.027300,0.004500,0.016200,0.000100
201210,-0.017600,-0.010900,0.035200,0.000100
201211,0.007800,0.006000,-0.008600,0.000100
201212,0.011800,0.015000,0.034800,0.000100
201301,0.055700,0.002900,0.010100,0.000000
201302,0.012800,-0.003000,0.002100,0.000000
201303,0.040400,0.008300,-0.002200,0.000000
201304,0.015600,-0.023700,0.004400,0.000000
201305,0.028000,0.017000,0.026700,0.000000
201306,-0.012000,0.013100,-0.000500,0.000000
201307,0.056500,0.018100,0.005800,0.000000
201308,-0.027100,0.003200,-0.027300,0.000000
201309,0.037700,0.028900,-0.011800,0.000000
201310,0.041700,-0.015600,0.012200,0.000000
201311,0.031100,0.013100,0.001900,0.000000
201312,0.028100,-0.004400,0.000000,0.000000
201401,-0.033200,0.009300,-0.019900,0.000000
201402,0.046600,0.003600,-0.003500,0.000000
201403,0.004300,-0.018600,0.049000,0.000000
201404,-0.001800,-0.041800,0.012200,0.000000
201405,0.020500,-0.018500,-0.001000,0.000000
201406,0.026000,0.030500,-0.007100,0.000000
201407,-0.020300,-0.041800,-0.000800,0.000000
201408,0.042400,0.004100,-0.005700,0.000000
201409,-0.019600,-0.035900,-0.014700,0.000000
201410,0.025100,0.040500,-0.016300,0.000000
201411,0.025600,-0.020500,-0.031300,0.000000
201412,-0.000500,0.025300,0.021200,0.000000
201501,-0.031000,-0.005900,-0.034500,0.000000
201502,0.061300,0.006100,-0.017900,0.000000
201503,-0.011100,0.030500,-0.003800,0.000000
201504,0.005900,-0.029900,0.018000,0.000000
201505,0.013700,0.009500,-0.011100,0.000000
201506,-0.015200,0.029400,-0.008200,0.000000
201507,0.015700,-0.041700,-0.041600,0.000000
201508,-0.060200,0.003700,0.027500,0.000000
201509,-0.030600,-0.026300,0.005500,0.000000
201510,0.077500,-0.019000,-0.004700,0.000000
201511,0.005700,0.035800,-0.004300,0.000000
201512,-0.021500,-0.028000,-0.025700,0.000100
201601,-0.057400,-0.034000,0.020800,0.000100
201602,-0.000600,0.007300,-0.006100,0.000200
201603,0.069500,0.007500,0.012200,0.000200
201604,0.009200,0.007700,0.032200,0.000100
201605,0.017800,-0.001800,-0.016200,0.000100
201606,-0.000300,0.006000,-0.014900,0.000200
201607,0.039400,0.024500,-0.012400,0.000200
201608,0.004900,0.011700,0.031700,0.000200
201609,0.002700,0.020800,-0.011900,0.000200
201610,-0.020100,-0.043900,0.041100,0.000200
201611,0.048600,0.056000,0.082900,0.000100
201612,0.018100,0.001400,0.034700,0.000300
201701,0.019400,-0.011600,-0.027600,0.000400
201702,0.035500,-0.021500,-0.015000,0.000400
201703,0.001700,0.011300,-0.033300,0.000300
201704,0.010800,0.006600,-0.020500,0.000500
201705,0.010700,-0.025200,-0.038200,0.000600
201706,0.007900,0.022100,0.015000,0.000600
201707,0.018800,-0.014500,-0.002300,0.000700
201708,0.001800,-0.016700,-0.021300,0.000900
201709,0.024900,0.044500,0.031500,0.000900
201710,0.022600,-0.019300,0.001300,0.000900
201711,0.031200,-0.006000,-0.000900,0.000800
201712,0.010600,-0.013200,0.000500,0.000900
201801,0.055800,-0.031600,-0.013200,0.001100
201802,-0.036400,0.002700,-0.011000,0.001100
201803,-0.023500,0.040500,-0.002100,0.001200
201804,0.002700,0.010900,0.005300,0.001400
201805,0.026600,0.052400,-0.031400,0.001400
201806,0.004900,0.011100,-0.023300,0.001400
201807,0.032000,-0.022300,0.004900,0.001600
201808,0.034500,0.011400,-0.039100,0.001600
201809,0.000600,-0.022900,-0.016200,0.001500
201810,-0.076500,-0.047000,0.033800,0.001900
201811,0.017100,-0.007300,0.003600,0.001800
201812,-0.095500,-0.023100,-0.019200,0.001900
201901,0.083700,0.027600,-0.003900,0.002100
201902,0.034200,0.020500,-0.026600,0.001800
201903,0.011000,-0.030300,-0.041400,0.001900
201904,0.039700,-0.017400,0.021300,0.002100
